epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.069,0.00789,1.50194,1.29366,0.72381,0.57177,0.65343,0.43826,0.00948,1.07069,1.22685,0.00332889,0.00332889,0.07004
2,389.43,0.00778,1.33501,1.29333,0.70017,0.4772,0.59843,0.4362,0.00846,1.25202,1.23618,0.00660226,0.00660226,0.03998
3,579.224,0.00868,1.65136,1.40872,0.54361,0.27783,0.41106,0.27121,0.01042,1.84602,1.51725,0.00981564,0.00981564,0.00986008
4,768.085,0.00955,1.93703,1.52412,0.57322,0.26464,0.4171,0.2484,0.01102,1.91883,1.60517,0.00973,0.00973,0.00973
5,957.218,0.00943,1.88328,1.52148,0.65139,0.3127,0.48352,0.31894,0.01003,1.67084,1.49984,0.00964,0.00964,0.00964
6,1146.21,0.00925,1.80102,1.5022,0.65287,0.35458,0.50436,0.33209,0.0097,1.59271,1.45447,0.00955,0.00955,0.00955
7,1335.11,0.00904,1.71986,1.48125,0.70209,0.34984,0.53906,0.37543,0.00932,1.4414,1.4154,0.00946,0.00946,0.00946
8,1524.43,0.00889,1.67809,1.46562,0.68676,0.40342,0.55649,0.38618,0.00925,1.42079,1.40098,0.00937,0.00937,0.00937
9,1713.71,0.00877,1.61831,1.45328,0.72948,0.39007,0.57174,0.40835,0.00899,1.37956,1.3767,0.00928,0.00928,0.00928
10,1902.94,0.00867,1.58519,1.44671,0.71711,0.43058,0.58057,0.41358,0.00864,1.33477,1.36274,0.00919,0.00919,0.00919
11,2092.13,0.00855,1.55481,1.43611,0.70054,0.42985,0.57471,0.40139,0.00909,1.3188,1.37211,0.0091,0.0091,0.0091
12,2281.77,0.00843,1.50057,1.41868,0.70832,0.45938,0.59643,0.43342,0.00857,1.27094,1.32297,0.00901,0.00901,0.00901
13,2471.67,0.00836,1.47877,1.41515,0.66015,0.49046,0.59417,0.4329,0.00818,1.29317,1.31204,0.00892,0.00892,0.00892
14,2661.49,0.00826,1.44854,1.40115,0.73264,0.47092,0.61268,0.45852,0.008,1.20744,1.27168,0.00883,0.00883,0.00883
15,2851.58,0.00821,1.42891,1.40166,0.68941,0.51928,0.6244,0.46943,0.00784,1.20727,1.2755,0.00874,0.00874,0.00874
16,3041.59,0.00813,1.40205,1.38955,0.74027,0.48055,0.62133,0.46849,0.00787,1.18897,1.27711,0.00865,0.00865,0.00865
17,3232.19,0.00806,1.37125,1.37605,0.71639,0.50674,0.62932,0.47141,0.008,1.17238,1.27657,0.00856,0.00856,0.00856
18,3422.72,0.00805,1.36732,1.37974,0.73996,0.51503,0.64567,0.47601,0.00817,1.16812,1.28693,0.00847,0.00847,0.00847
19,3613.39,0.00798,1.33796,1.3743,0.73313,0.5104,0.63945,0.47423,0.00809,1.13459,1.27695,0.00838,0.00838,0.00838
20,3804.24,0.00789,1.3188,1.36662,0.72986,0.53853,0.65362,0.50028,0.0075,1.09708,1.25344,0.00829,0.00829,0.00829
21,3995.12,0.00784,1.29133,1.35361,0.74007,0.53627,0.65687,0.50603,0.00745,1.0856,1.23251,0.0082,0.0082,0.0082
22,4185.66,0.00777,1.28451,1.35568,0.76027,0.53491,0.66437,0.50643,0.00769,1.08845,1.24916,0.00811,0.00811,0.00811
23,4376.49,0.00772,1.27328,1.34842,0.74312,0.54681,0.66282,0.50175,0.00761,1.08614,1.23507,0.00802,0.00802,0.00802
24,4567.54,0.00772,1.25562,1.34826,0.75458,0.5435,0.66743,0.51103,0.00748,1.06513,1.22867,0.00793,0.00793,0.00793
25,4758.29,0.00769,1.24429,1.3434,0.73896,0.55735,0.6733,0.51725,0.00749,1.03914,1.22124,0.00784,0.00784,0.00784
26,4949.08,0.00766,1.22919,1.33711,0.73808,0.55935,0.67164,0.51615,0.00729,1.03735,1.21521,0.00775,0.00775,0.00775
27,5139.73,0.00759,1.21267,1.33069,0.74393,0.56496,0.68163,0.52878,0.0072,1.027,1.20845,0.00766,0.00766,0.00766
28,5330.32,0.00758,1.20682,1.32754,0.75987,0.57522,0.69059,0.53558,0.00725,1.0135,1.20642,0.00757,0.00757,0.00757
29,5520.94,0.00749,1.17942,1.32224,0.75451,0.57159,0.68869,0.52859,0.00736,1.01309,1.21225,0.00748,0.00748,0.00748
30,5711.48,0.00749,1.17928,1.31953,0.74455,0.57693,0.68134,0.52775,0.00728,1.00261,1.20575,0.00739,0.00739,0.00739
31,5902.11,0.0075,1.16777,1.32488,0.75467,0.57447,0.68604,0.53742,0.00708,0.99594,1.19268,0.0073,0.0073,0.0073
32,6092.83,0.00741,1.15625,1.31041,0.75413,0.58523,0.68961,0.54051,0.007,0.97675,1.18834,0.00721,0.00721,0.00721
33,6283.58,0.00739,1.13742,1.31101,0.74759,0.58159,0.68816,0.54029,0.00709,0.96972,1.19658,0.00712,0.00712,0.00712
34,6473.95,0.00734,1.12556,1.30037,0.77757,0.57894,0.69852,0.55424,0.00685,0.9677,1.18121,0.00703,0.00703,0.00703
35,6664.56,0.00732,1.12298,1.30133,0.7674,0.59519,0.70309,0.55075,0.00705,0.96129,1.1843,0.00694,0.00694,0.00694
36,6855.08,0.00726,1.11079,1.29677,0.75863,0.58801,0.69657,0.54616,0.00706,0.96503,1.18687,0.00685,0.00685,0.00685
37,7045.77,0.00726,1.1004,1.29597,0.75416,0.59712,0.70149,0.55675,0.00684,0.95369,1.17039,0.00676,0.00676,0.00676
38,7237.92,0.00723,1.08973,1.29308,0.76396,0.59783,0.70434,0.56085,0.00677,0.9425,1.16779,0.00667,0.00667,0.00667
